date,cloudcover,humidity,precipMM,pressure,visibility,windspeedKmph
2010-01-01 00:00,100,88,0.0,997,10,20
2010-01-01 01:00,100,88,0.1,997,10,19
2010-01-01 02:00,100,87,0.1,997,10,19
2010-01-01 03:00,100,87,0.1,997,10,19
2010-01-01 04:00,100,87,0.0,997,10,20
2010-01-01 05:00,100,87,0.0,997,10,21
2010-01-01 06:00,99,87,0.0,997,10,21
2010-01-01 07:00,98,86,0.1,997,10,21
2010-01-01 08:00,97,85,0.1,998,10,21
2010-01-01 09:00,86,84,0.1,999,10,21
2010-01-01 10:00,76,83,0.1,1000,10,21
2010-01-01 11:00,65,82,0.1,1001,10,22
2010-01-01 12:00,56,78,0.1,1001,10,22
2010-01-01 13:00,46,73,0.1,1002,10,22
2010-01-01 14:00,37,68,0.1,1003,10,22
2010-01-01 15:00,31,70,0.1,1003,10,19
2010-01-01 16:00,25,71,0.0,1004,10,17
2010-01-01 17:00,19,72,0.0,1004,10,14
2010-01-01 18:00,31,76,0.0,1005,10,13
2010-01-01 19:00,44,79,0.0,1007,10,13
2010-01-01 20:00,57,82,0.0,1008,10,12
2010-01-01 21:00,50,85,0.3,1009,9,11
2010-01-01 22:00,42,88,0.5,1010,8,10
2010-01-01 23:00,35,91,0.8,1011,7,9
2010-01-02 00:00,27,90,0.9,1011,8,9
2010-01-02 01:00,20,88,1.1,1012,8,9
2010-01-02 02:00,13,86,1.2,1013,9,9
2010-01-02 03:00,11,85,0.8,1013,9,11
2010-01-02 04:00,9,83,0.4,1013,10,12
2010-01-02 05:00,7,82,0.0,1014,10,13
2010-01-02 06:00,32,84,0.0,1014,10,14
2010-01-02 07:00,56,85,0.1,1014,10,15
2010-01-02 08:00,81,87,0.1,1015,10,17
2010-01-02 09:00,86,87,0.3,1016,10,17
2010-01-02 10:00,92,87,0.4,1016,10,17
2010-01-02 11:00,98,87,0.6,1017,10,17
2010-01-02 12:00,90,84,0.7,1017,10,17
2010-01-02 13:00,82,82,0.7,1018,9,16
2010-01-02 14:00,75,80,0.8,1019,9,15
2010-01-02 15:00,67,80,0.5,1019,9,14
2010-01-02 16:00,60,81,0.3,1019,10,13
2010-01-02 17:00,52,82,0.0,1019,10,12
2010-01-02 18:00,38,83,0.0,1019,10,13
2010-01-02 19:00,24,85,0.0,1020,10,14
2010-01-02 20:00,9,87,0.0,1020,10,15
2010-01-02 21:00,10,89,0.0,1020,10,15
2010-01-02 22:00,11,91,0.0,1020,10,14
2010-01-02 23:00,12,93,0.0,1020,10,14
2010-01-03 00:00,17,94,0.0,1020,10,15
2010-01-03 01:00,21,94,0.0,1020,10,16
2010-01-03 02:00,26,95,0.0,1021,10,17
2010-01-03 03:00,24,94,0.0,1020,10,16
2010-01-03 04:00,23,94,0.0,1020,10,16
2010-01-03 05:00,22,94,0.0,1020,10,15
2010-01-03 06:00,24,93,0.0,1020,10,13
2010-01-03 07:00,27,92,0.0,1020,10,11
2010-01-03 08:00,30,91,0.0,1020,10,9
2010-01-03 09:00,27,91,0.0,1020,10,8
2010-01-03 10:00,25,92,0.0,1021,10,7
2010-01-03 11:00,23,92,0.0,1021,10,6
2010-01-03 12:00,41,92,0.0,1021,10,10
2010-01-03 13:00,59,91,0.0,1021,10,13
2010-01-03 14:00,78,91,0.0,1021,10,17
2010-01-03 15:00,53,90,0.0,1021,10,18
2010-01-03 16:00,28,89,0.0,1021,10,19
2010-01-03 17:00,4,88,0.0,1021,10,20
